Value,Disaggregation combinations using this value,Number of indicators
Abia,2,2
Adamawa,2,2
Akwa Ibom,1,1
Akwa-Ibom,1,1
Anambra,2,2
Bauchi,2,2
Bayelsa,2,2
Benue,2,2
Borno,2,2
Cross River,2,2
Delta,2,2
Ebonyi,2,2
Edo,2,2
Ekiti,2,2
Enugu,2,2
FCT Abuja,1,1
FCT,1,1
Gombe,2,2
Imo,2,2
Jigawa,2,2
Kaduna,2,2
Kano,2,2
Katsina,2,2
Kebbi,2,2
Kogi,2,2
Kwara,2,2
Lagos,2,2
Nasarawa,2,2
Niger,2,2
Ogun,2,2
Ondo,2,2
Osun,2,2
Oyo,2,2
Plateau,2,2
Rivers,2,2
Sokoto,2,2
Taraba,2,2
Yobe,2,2
Zamfara,2,2
